employee_id,name,roles,max_week_hours,min_rest_hours,max_overtime_hours,skills,contracted_hours,min_week_hours
E001,Walter,nurse|triage|doctor|receptionist,32.0,11,8,"admin,communication,emergency,first_aid",24.0,24.0
E002,Andrea,triage|nurse|doctor,24.0,11,0,"communication,emergency,first_aid",24.0,24.0
E003,Franco,doctor,24.0,11,2,emergency,24.0,24.0
E004,Pietro,triage|doctor,24.0,11,0,"communication,emergency,first_aid",24.0,24.0
E005,Nino,doctor|labtech,24.0,11,0,"emergency,lab",24.0,24.0
E006,Leonardo,doctor,24.0,11,0,emergency,24.0,24.0
E007,Paolo,icu_nurse|doctor,32.0,11,8,"emergency,first_aid,icu",24.0,24.0
E008,Silvia,nurse|doctor,24.0,11,2,"emergency,first_aid",24.0,24.0
E009,Sofia,labtech,18.0,11,0,lab,18.0,18.0
E010,Xenia,triage|receptionist,24.0,11,6,"admin,communication,first_aid",24.0,24.0
E011,Matteo,triage,24.0,11,0,"communication,first_aid",24.0,24.0
E012,Marco,triage|radiology,32.0,11,8,"communication,first_aid,radiology",24.0,24.0
E013,Elisa,nurse,24.0,11,0,first_aid,24.0,24.0
E014,Paola,nurse|icu_nurse,32.0,11,8,"first_aid,icu",24.0,24.0
E015,Alex,nurse,24.0,11,4,first_aid,24.0,24.0
E016,Tariq,nurse|triage,32.0,11,8,"communication,first_aid,leadership",24.0,24.0
E017,Yara,doctor|labtech,24.0,11,0,"emergency,lab",24.0,24.0
E018,Diego,nurse|icu_nurse|triage,40.0,11,2,"communication,first_aid,icu",,
E019,Umberto,nurse,24.0,11,2,first_aid,24.0,24.0
E020,Francesca,receptionist,18.0,11,2,"admin,communication",18.0,18.0
E021,Valeria,nurse,24.0,11,2,first_aid,24.0,24.0
E022,Giulia,nurse|icu_nurse,32.0,11,8,"first_aid,icu",24.0,24.0
E023,Tina,triage|receptionist,24.0,11,6,"admin,communication,first_aid",24.0,24.0
E024,Qi,triage|labtech,24.0,11,2,"communication,first_aid,lab",24.0,24.0
E025,Dario,icu_nurse|triage,24.0,11,2,"communication,first_aid,icu",24.0,24.0
E026,Benedetta,nurse|icu_nurse|triage,32.0,11,0,"communication,first_aid,icu",,
E027,Nadia,icu_nurse,24.0,11,2,"first_aid,icu",24.0,24.0
E028,Noemi,nurse|icu_nurse,32.0,11,8,"first_aid,icu,leadership",24.0,24.0
E029,Edoardo,radiology,18.0,11,0,radiology,18.0,18.0
E030,Claudia,nurse,24.0,11,2,first_aid,24.0,24.0
E031,Ruben,nurse,24.0,11,0,first_aid,24.0,24.0
E032,Bob,nurse|icu_nurse|triage,36.0,11,4,"communication,first_aid,icu",,
E033,Alice,triage|radiology,32.0,11,8,"communication,first_aid,radiology",24.0,24.0
E034,Laura,triage,24.0,11,0,"communication,first_aid",24.0,24.0
E035,Ilaria,labtech,18.0,11,2,"lab,leadership",18.0,18.0
E036,Marta,triage,32.0,11,8,"communication,first_aid,leadership",24.0,24.0
E037,Eva,radiology,18.0,11,2,radiology,18.0,18.0
E038,Hassan,receptionist,36.0,11,0,"admin,communication",,
E039,Barbara,triage|radiology,32.0,11,8,"communication,first_aid,radiology",24.0,24.0
E040,Zeno,triage,24.0,11,0,"communication,first_aid",24.0,24.0
E041,Lucia,nurse,24.0,11,0,first_aid,24.0,24.0
E042,Gabriele,doctor,24.0,11,2,emergency,24.0,24.0
E043,Grazia,icu_nurse|triage,36.0,11,4,"communication,first_aid,icu",,
E044,Beatrice,radiology,18.0,11,2,radiology,18.0,18.0
E045,Giorgio,triage,24.0,11,2,"communication,first_aid",24.0,24.0
E046,Federica,nurse,24.0,11,2,first_aid,24.0,24.0
E047,Carla,nurse|icu_nurse,24.0,11,0,"first_aid,icu",24.0,24.0
E048,Michela,triage|receptionist,40.0,11,4,"admin,communication,first_aid",,
E049,Enrico,nurse|triage,24.0,11,0,"communication,first_aid",24.0,24.0
E050,Omar,triage,40.0,11,4,"communication,first_aid",,
